Hedysarum xizangensis	西藏岩黄芪
Taraxacum platypecidum	白缘蒲公英;狭苞蒲公英
Lontra provocax	南美獭
Cyclosa onoi	小野艾蛛
Ozyptila wuchangensis	武昌羽蛛
Barbus camptacanthus	弯刺魮
Fulmarus glacialoides	银灰暴风鹱
Oxytropis latibracteata var. longibracteata	长宽苞棘豆
Eriocaulon angustulum	狭叶谷精草
Parapsyra midcarina	中隆副缘露螽
Euacasta zuiho	颗粒真绵藤壶
Ringicula niinoi	齿痕露齿螺
Rhododendron nymphaeoides	睡莲叶杜鹃
Delphinium sinoscaposum	花亭翠雀花
Bromus tytthanthus	裂稃雀麦
Homola orientalis	东方人面蟹
Myricaria pulcherrima	心叶水柏枝
Leymus angustus	窄颖赖草
Hemimyzon taitungensis	台东间吸鳅
Pygathrix brelichi	贵州金丝猴
Cinchona succirubra	鸡纳树
Carpesium faberi	贵州天名精
Sebastes hubbsi	铠平鲉
Lunatia gilva	微黄镰玉螺
Berberis pulangensis	普兰小檗
Astragalus grubovii	细叶卵果黄芪;新巴黄耆
Brachythecium propinnatum	羽状青藓
Pseudolysimachion rotundum	无柄穗花;朝鲜穗花;东北穗花
Mantidactylus sculpturatus	雕刻螂指蛙
Lanius meridionalis	南灰伯劳
Plethodon wehrlei	韦尔利无肺螈
Impatiens hongkongensis	香港凤仙花
Ranunculus banguoensis var. grandiflorus	普兰毛茛
Beania petiolata	细柄格苔虫
Naso unicornis	长吻鼻鱼
Ainsliaea pertyoides var. albotomentosa	白背兔儿风
Arenaria smithiana	大花福禄草
Arisaema erubescens	一把伞南星
Uromyces dolicholi	小扁豆单胞锈菌
Rhododendron tubulosum	长管杜鹃
Solisorex pearsoni	斯里兰卡长爪鼩鼱
Cissilopha beecheii	紫背冠鸦
Diglossa indigotica	靛青刺花鸟
Lysimachia physaloides	金平香草
Pedicularis anas var. xanthantha	黄花鸭首马先蒿
Amomum longiligulare	海南砂仁
Papilio machaon subsp. asiaticus	金凤蝶西藏亚种
Tetrastigma jinghongense	景洪崖爬藤
Myioborus pictus	彩鸲莺
Myotis elegans	精致鼠耳蝠;华美鼠耳蝠
Alopias pelagicus Nakamura	浅海长尾鲨
Chaetura grandidieri	马岛刺尾雨燕
Lagotis brachystachya	短穗兔耳草
Oena capensis	小长尾鸠
Grampus Griseus	灰海豚
Primula nivalis var. farinosa	准噶尔报春
Leptodactylus bolivianus Boulenger	玻利维亚细趾蟾
Hercostomus sequens	侍从寡长足虻
Oediceroides ornithorhynchus	鸟嘴合眼钩虾
Philander opossum	灰林负鼠
Torenia concolor	单色蝴蝶草
Trisetum spicatum subsp. virescens	喜马拉雅穗三毛
Phyllomedusa vaillantii	维兰叶泡蛙
Astragalus nobilis var. obtusifoliolatus	钝叶华贵黄耆
Aporia tsinglingica	秦岭绢粉蝶
Columba argentina	银鸽
Cinnamomum japonicum	天竺桂
Gnaphosa inconspecta	欠虑平腹蛛
Uromyces salsolae	猪毛菜单胞锈菌
Valerianella olitoria	野苣菜
Sphaeranthus indicus	绒毛戴星草
Fissidens geppii	黄边凤尾藓
Pachydactylus kobosensis	科博肥趾虎
Cortinarius anomalus	烟灰褐丝膜菌
Vaneeckeia pallidifascia	木荷空舟蛾
Ribes himalense var. glandulosum	疏腺茶藨子
Octodontomys gliroides	八齿山鼠
Habenaria rostrata	喙房坡参
Phyllomedusa iheringii	伊赫叶泡蛙
Pseudopoda spiculata	细刺巨蟹蛛
Cynoglossus sinicus	中华舌鳎;中华双线舌鳎
Bazzania yoshinagana	卷叶鞭苔
Parnassius cephalus subsp. elwesi	元首绢蝶康定亚种
Dendrocalamus latiflorus	美浓麻竹;麻竹;葫芦麻竹
Clamator coromandus (Linnaeus,)	红翅凤头鹃
Annandaleum japonicum biramosum	日本阿南铠茗荷
Atrichornis clamosus	嘈杂薮鸟
Aporia bieti subsp. xizangensis	暗色绢粉蝶西藏亚种
Nectomys palmipes	宽足泳鼠
Arcania elongata	长形栗壳蟹
Zonibyx modestus	棕胸鸻
Pimpinella diversifolia	尖瓣异叶茴芹;异叶茴芹;走茎异叶茴芹
Maxates acyra	谬尖尾尺蛾
Allium bidentatum	砂韭
Hippolais caligata (Lichtenstein,)	靴篱莺
Abutilon pictum	金铃花
Bulbophyllum pectenveneris	斑唇卷瓣兰
Nyctimystes vestigia Tyler	迹跟褶雨夜蛙
Camphorosma monspeliaca	樟味藜;同齿樟味藜
Phelsuma mutabilis	门那巴残趾虎
Paracrocidura graueri	格氏鼩鼱
Fistularia tabacaria	烟管鱼
Gekko japonicus	多疣壁虎
Colura corynephora	异瓣管叶苔
Cleyera japonica var. wallichiana	大花红淡比
Ciliopagurus liui	刘氏纤毛寄居蟹
Testudo elegans	美丽陆龟
Rhoptropus taeniostictus Laurent	链纹杆趾虎
Bulbophyllum maanshanense	副萼石豆兰
Lophocalyx suluanus	苏露萼冠海绵
Hemiaegina minuta	小半麦杆虫
Lepus europaeus	欧洲野兔;里海兔
Paphiopedilum armeniacum var. parviflorum	金豆兜兰
Borboropactus hainanus	海南泥蟹蛛
Chrysotus cilipes	密毛小异长足虻
Eurynorhynchus pygmeusLinnaeus	勺嘴鹬
Orchis nanhutashanensis	南湖红门兰
Zoohera citrina	橙头地鸫
Calandrella cheleensis subsp. stegmanni	短趾百灵
Scartelaos gigas	大青弹涂鱼
Bolomys punctulatus	斑点雷鼠
Solen krusensterni	克氏竹蛏
Sphaerodactylus decoratus Garman	美丽球趾虎
Torpedo nobiliana Bonaparte	暗色电鳐
Suaeda corniculata	角果碱蓬;藏角果碱蓬
Gerreomorpha decacantha	十棘银鲈
Smilax austrozhejiangensis	海南菝葜
Pteropus neohibernicus Peters	俾斯麦狐蝠
Aphananthe aspera var. pubescens	柔毛糙叶树
Cousinia falconeri	穗花刺头菊
Carex callitrichos	羊须草;矮丛薹草
Bryum alpinum	高山真藓
Leiognathus lineolatus	粗纹鲾
Pentapetes phoenicea	午时花
Artemisia przewalskii	甘青小蒿
Bulbophyllum fordii	狭唇卷瓣兰
Phoebe megacalyx	大萼楠
Dryopteris submarginata	近密鳞鳞毛蕨
Xenopus vestitus	复表爪蟾
Aglaophamus tepens	暖湿内卷齿蚕
Amentotaxus formosana	台湾穗花杉
Aster argyropholis	银鳞紫菀奇形变种;银鳞紫菀白雪变种;银鳞紫菀
Paracobitis variegatus	红尾副鳅
Litsea honghoensis	红河木姜子
Agapetes leiocarpa	光果树萝卜
Trimeresurus convictus Stoliczka	马来烙铁头
Cheilosoria insignis	川藏碎米蕨
Boehmeria macrophylla var. canescens	灰绿水苎麻
Oryzomys rostratus	瑰化稻鼠
Adiantum chienii	北江铁线蕨
Hyperolius sylvaticus Schiφtz	林栖非洲树蛙
Tomopterna scorteccii	思氏平跟蛙
Stigmatopora nigra	宽体尖尾海龙
Aconitum carmichaelii	乌头;深裂乌头;展毛乌头;毛叶乌头;黄山乌头
Coelogyne leungiana	单唇贝母兰
Parus xanthogenys	眼纹黄山雀;黄颊山雀
Trigonella emodi	喜马拉雅胡卢巴
Amblyrhynchus crislatus	钝鼻蜥
Oligodon guizhouensis Li	贵州小头蛇
Pedicularis przewalskii subsp. hirsuta	粗毛普氏马先蒿
Populus yunnanensis var. microphylla	小叶滇杨
Nephelium chryseum	韶子
Strobilanthes tenuiflora	纤长马蓝
Anabarilius yangzonensis Chen et Chu	阳宗白鱼
Acer tenellum	薄叶槭;七裂薄叶槭
Biarctus vitiensis	斐济双齿蝉虾
Chrysotimus xuae	徐氏黄鬃长足虻
Lestidium prolixum	长裸喙鱼
Cyclosa norihisai	德久艾蛛
Trigona laeviceps	光足无刺蜂
Remusatia vivipara	岩芋
Abderospira punctulata	凹点无塔螺
Rhamnus globosa	及东鼠李
Hemidactylus squamulatus Tornier	侧鳞蜥虎
Saxifraga wardii var. glabripedicellata	光梗虎耳草
Iris curvifolia	弯叶鸢尾
Vaccinium rubescens	红梗越桔
Crateromys schadenbergi	狐尾云鼠
Tropiometra afra subsp. macrodiscus	脊羽枝
Aythya fuligula (Linnaeus,)	凤头潜鸭
Oreorchis erythrochrysea	短梗山兰
Alcippe ruficapilla subsp. sordidior	棕头雀鹛
Papio papio	几内亚狒狒
Umbra krameri Walbaum	荫鱼
Apalis nigriceps	黑顶娇莺
Kansuchelys ovalis Yeh	卵形秦龟
Parus cinctus	西伯利亚山雀
Picea jezoensis var. komarovii	长白鱼鳞云杉
Coelorhynchus coelorhinchus	鞍斑腔吻鳕
Rana plicatella	小褶蛙
Peromyscus zarhynchus	奇亚朋鹿鼠
Gari lessoni	莱氏紫云蛤
Puntius conchonius	玟瑰无须魮;玫瑰无须鲃
Loricaria variegata	花甲鲇
Illicium burmanicum	中缅八角
Galium turkestanicum	中亚拉拉藤
Bromus secalinus	黑麦状雀麦
Salix heterochroma	柴枝柳;无毛紫枝柳
Anopheles jeyporiensis	月潭疟蚊
Colias dubia	杜比豆粉蝶
Rana krefftii	克雷蛙
Eurya rubiginosa var. attenuata	窄基红褐柃
Minolia chinensis	中国小铃螺
Campylotropis kingdonii	滇缅子梢
Hemipenthes maura	暗斑翅蜂虻
Gymnocorymbus ternetzi	裸顶脂鲤，黑裙
Rhododendron oreotrephes	山育杜鹃
Carduelis magellanicus	巾冠金翅
Saussurea chetchozensis var. glabrescens	光叶风毛菊
Rhinogobio ventralis	长鳍吻鮈
Acanthus illicrifolius	厦门老鼠簕
Chaenogobius laevis	黄带长颌鰕虎鱼
Uroconger syringinus	丝尾鳗
Priocharax pygmaeus	侏锯齿脂鲤
Delphinium maximowiczii	多枝翠雀花
Mesogobio tumenensis	图们江中鮈
Paralebeda femorata subsp. mirabilis	台湾栎枯叶蛾
Cordia furcans	短梗破布木
Saxifraga forrestii	玉龙虎耳草
Matteuccia struthiopteris	荚果蕨
Emblema oculata	红耳火尾雀
Synalpheus streptodactylus	扭指合鼓虾
Amphiroa anastomosans	网结叉节藻
Pedobesia simplex	简单佩氏藻（新拟）
Lycopus cavaleriei	小叶地笋
Aspidura copii	科氏盾尾蛇
Gambusia hispaniolae	希氏食蚊鱼
Leiocassis crassilabris	粗吻鮠;粗唇鮠
Arachnura melanura	黄尾园蛛
Rosama strigosa	纹玫舟蛾
Saccostomus mearnsi	东岸囊鼠
Garrulax affinis subsp. blythii	黑顶噪鹛
Pomatorhinus ferruginosus subsp. orientalis	红嘴钩嘴鹛
Vitis pilosonervia	毛脉葡萄
Hippocampus jayakari	贾氏海马
Botaurus stellaris	大麻鹭;大麻鳽;大麻(升鸟)
Rhododendron rhodanthum	淡红杜鹃
Wahlenbergia marginata	蓝花参
Protohermes dimaculatus	双斑星齿蛉
Regmatodon orthostegius	多蒴异齿藓
Acer pubipetiolatum	屏边毛柄槭;毛柄槭
Astrocladus exiguus	小星蔓蛇尾
Trapezia tigrina	虎斑梯形蟹
Pterocarya tonkinensis	越南枫杨
Pellorneum ruficeps	棕头幽鹛
Gerbillus pyramidum	以色列小沙鼠
Discosura popelairii	翎冠刺尾蜂鸟
Vaccinium pubicalyx	多毛毛萼越桔;毛萼越桔;少毛毛萼越桔
Parachiloglanis hodgarti	平唇鮡
Doryrhamphus japonicus	日本矛吻海龙;日本海龙
Leptomastidea abnormis	三带丽突跳小蜂
Carex wahuensis subsp. robusta	布氏宿柱薹
Pteropus mahaganus	矮狐蝠;麻岛狐蝠
Turdus ignobilis	黑嘴鸫
Amazona amazonica	橙翅亚马孙鹦哥
Triplophysa leptosoma	梭形高原鳅
Peucedanum torilifolium	窃衣叶前胡
Bufo quechus Callardo	织蟾蜍
Rana johnstoni	约翰斯蛙
Eothenomys custos subsp. hintoni	康定亚种
Jungermannia confertissima	圆萼叶苔
Mayetiola destructor	黑森瘿蚊
Megachile behavanae	英切叶蜂
Didymocarpus glandulosus	腺毛长蒴苣苔;短萼长蒴苣苔;毛药长蒴苣苔
Pseudocerastes bicrnis Wall	双拟角蝰
Speirantha gardenii	白穗花
Chiroderma salvimi	沙氏大眼蝠;白纹手皮蝠
Amazona mercenaria	鳞顶亚马孙鹦哥
Primula calyptrata	帽果报春
Cettia pallidipes (Blanford,)	淡脚树莺
Nemaperistedion orientale Fowler	东方线鲂鮄
Orobanche alsatica	多色列当
Fimbristylis fusca var. contoniensis	广州暗褐飘拂草
Microula younghusbandii	小微孔草
Melastoma normale	展毛野牡丹
Bufo macrotis Boulenger	大耳蟾蜍
Anthus campestris	平原鹨
Butomus umbellatus	花蔺
Apistus alatus	须蓑鲉
Carcinoplax longipes	长足隆背蟹
Cercopithecus erythrogaster	赤腹长尾猴;红腹长尾猴
Cotoneaster buxifolius var. vellaeus	华南黄杨叶栒子
Aegolius funereus subsp. sibiricus	鬼鸮
Rhododendron sanguineum var. haemaleum	紫血杜鹃
Garnotia acutigluma	三芒耳稃草
Aconitum villosum	白毛乌头;缠绕白毛乌头
Festucalex prolixus	长光尾海龙
Tillaea likiangensis	丽江东爪草
Trifolium strepens	黄车轴草
Chaetostomus fischeri	毛口鲇
Crenilabrus quinquemaculatus Bloch	五斑锯隆头鱼
Begonia acutitepala	尖被秋海棠
Podiceps rufolaratus	达拉氏小鸊鷉
Ilex graciliflora	纤花冬青
Graphiurus christyi	克里斯蒂睡鼠
Lethe labyrinthea	蟠纹黛眼蝶
Aristolochia thwaitesii	海边马兜铃
Clamator coromandus	红翅凤头鹃;冠郭公
Cystophora cristata	冠海豹
Abies kawakamii	台湾冷杉
Canda foliifera	叶形环管苔虫
Phedina borbonica	马岛原燕
Centrolenella orocostalis	红肋小跗蛙
Asterodiscides elegans	秀丽星盘海星
Stenomys ceramicus	斯兰狭鼠
Salsola implicata	密枝猪毛菜
Caridina hainanensis	海南米虾
Sergia filicta	圆角樱虾
Bufo cognatus	大平原蟾蜍
Mucuna pruriens var. utilis	黧豆
Crypsis schoenoides	蔺状隐花草
Asterropteryx semipunctatus Ruppell	星塘鳢
Parnassia longshengensis	龙胜梅花草
Rhamnus hemsleyana var. yunnanensis	高山亮叶鼠李
Carex spachiana	澳门薹草
Mortonagrion hirosei	四斑细蟌
Onycocaris oligodentata	寡齿双爪虾
Rhynchocyon  petersi	黑象鼩
Eonemertes xiamenensis	厦门曙纽虫
Caragana spinifera	西藏锦鸡儿
Bungarus fasciatus	金环蛇;金脚带
Scapania delavayi	德氏合叶苔
Podosphaeraster polyplax	多板足球海星
Isodon barbeyanus	线齿香茶菜
Coleosporium serratulae	麻花头鞘锈
Sparganium fallax	曲轴黑三棱
Ctenomys knighti	塔科栉鼠
Melanophryniscus sanmartini	圣马丁黑昧蟾
Neoscona scylla	青新园蛛
Castanopsis damingshanensis	大明山锥
Rhacophorus macroscelis	大腿树蛙
Typhlocarcinops denticarpus	齿腕拟盲蟹
Codonopsis meleagris	珠鸡斑党参
Serrasalmus gouldingi	古氏锯脂鲤
Basilornis corythaix	摩鹿加王椋鸟
Athyrium sinense	中华蹄盖蕨
Puccinia longirostroides	拟长喙柄锈菌
Sorbaria arborea	毛叶高丛珍珠梅;光叶高丛珍珠梅;高丛珍珠梅
Mesopicos goertae	灰啄木
Typhlotriton braggi	布雷格盲穴螈
Draco lineatus	线纹飞蜥
Bufo caeruleostictus Guenther	暗斑蟾蜍
Pedicularis stenotheca	狭室马先蒿
Arenaria pseudostellaria	线叶无心菜
Discoglossus p.sardus	
Eleutherodactylus schmidti Noble	施米特卵齿蟾
Nepeta manchuriensis	黑龙江荆芥
Polyprion americanus	多锯鲈
Phacelurus latifolius	束尾草
Adiantum roborowskii	陇南铁线蕨;峨眉铁线蕨;台湾高山铁线蕨
Chiromantis kachowskii Nikolsky	卡氏攀蛙
Dinopium javanense (Ljungh,)	金背三趾啄木鸟
Stylephorus chordatus	鞭尾鱼
Satarupa gopala	飒弄蝶
Rhododendron stamineum var. gaozhaiense	高寨长蕊杜鹃
Pteropus rayneri	雷氏狐蝠;瑞纳狐蝠
Aconitum chiachaense	腺毛加查乌头;加查乌头
Strigocuscus celebensis	苏岛纹袋貂
Actinodura egertoniGould	锈额斑翅鹛
Lanius somalicus	索马里伯劳
Gonocephalus miotympanum	小耳头角蜥
Phellodendron amurense	黄檗
Hylambates brevipes Boulenger	短足援木蛙
Scarus forsteri Cuvier et Valenciennes	绿唇鹦嘴鱼
Amazilia edward	雪胸蜂鸟
Juncus milashanensis	米拉山灯心草
Delphinium naviculare var. lasiocarpum	毛果船苞翠雀花
Agrostis munroana	长稃剪股颖
Microcaecilia rabei	拉氏小蚓
Nuphar pumila subsp. sinensis	中华萍蓬草
Brachythecium viridefactum	绿枝青藓
Rubus parkeri	乌泡子
Oriolus mellianusStresemann	鹊鹂, 鹊色鹂
Polygala globulifera var. globulifera	球冠远志
Pilea linearifolia	条叶冷水花
Gambusia dominicensis	多明戈食蚊鱼
Lepidodactylus gardineri	罗图马鳞趾虎
Pitta moluccensis	蓝翅八色鸫;马来八色鸫;蓝翅八色鸟
Lespedeza fasciculiflora	束花铁马鞭;横断山铁马鞭
Bibimys chacoensis	绯鼻鼠
Lepidion inosimae	乌须鳕
Laggera intermedia	假六棱菊
Cyclobalanopsis hefleriana	毛枝青冈
Echimys semivillosus	半绒树棘鼠
Impatiens notolopha	西固凤仙花
Apogon taeniatus	双带天竺鲷
Sphiggurus insidiosus	巴西树豪猪
Rhododendron faberi subsp. prattii	大叶金顶杜鹃
Parapanope euagora	贪精武蟹
Phlogacanthus abbreviatus	缩序火焰花
Syrastrena sumatrana	无痕枯叶蛾;斜线痕枯叶蛾;苏痕枯叶蛾
Handeliodendron bodinieri	掌叶木
Phyllostomus latifolius	偏叶叶口蝠;侧叶矛吻蝠
Asthenes flammulata	多纹卡纳雀
Hedyotis ovata	卵叶耳草
Schizothorax yunnanensis weiningensis	威宁裂腹鱼
Eritrichium longipes	长梗齿缘草
Astragalus salsugineus var. multijugus	盐生黄耆
Nocomis platyrhynchus	大口美鱥
Siren i.intermedia	
Symplocos yangchunensis	阳春山矾
Ilex buxoides	黄杨冬青
Cortinarius calochrous	托病丝膜菌
Pseudostellaria tibetica	西藏孩儿参
Sedum fui var. longisepalum	长萼宽叶景天
Lithophaga calyculata	杯石蛏
Parthenocissus semicordata	三叶地锦
Puccinia stipae-sibiricae	羽茅柄锈菌
Rorippa elata	高蔊菜
Pterocles lichtensteinii	横斑沙鸡
Lycoris aurea	忽地笑
Strychnos cathayensis	华马钱;刺马钱
Sedum stimulosum	刺毛景天
Anathana ellioti	印度树鼩
Daphne acutiloba	尖瓣瑞香
Stachyris nonggangensis	弄岗穗鹛
Synapturanus Salseri Pyburn	萨尔联蛙
Ilex fukienensis f. puberula	毛枝福建冬青
Adamnestia protracta	长柱核螺
Phyllobates aurotaenia	条纹叶毒蛙
Chienkosaurus ceratosauroides	剑阁龙
Broodesia decaryi Angel	马加变色龙
Parus songarus subsp. stotzneri	褐头山雀
Smilax ocreata	抱茎菝葜
Corydalis adunca subsp. microsperma	滇西灰绿黄堇
Melanitta nigraLinnaeus	黑海番鸭
Paranemertes katoi	加藤拟纽虫
Larinia macrohooda	大兜肥蛛
Lepilemur betsileo	贝萨勒鼬狐猴
Cousinia leiocephala	光苞刺头菊
Heteroscyphus flaccidus	脆叶异萼苔
Hipposideros megalotis	大耳蹄蝠;串耳蹄蝠
Hieraaetus fasciatus subsp. fasciatus	白腹隼雕
Spiraea flexuosa	曲萼绣线菊;柔毛曲萼绣线菊
Salsola orientalis	东方猪毛菜
Spatalia plusiotis	富金舟蛾
Muscicapa latirostrisRaffles	北灰鹟
Scolopsis margaritifer	珠斑眶棘鲈
Alauda gulgula subsp. coelivox	小云雀
Columbina cyanopis	蓝眼地鸠
Phanerochaete chrysosporium	白腐病病菌
Tangara icterocephala	银喉唐加拉雀
Climacteris erythrops	红眉短嘴旋木雀
Pteris formosana	美丽凤尾蕨
Capparis subsessilis	无柄山柑
Dasyatis gerrardi	齐氏魟
Sinosideroxylon wightianum	革叶铁榄
Agonus cataphractus Linnaeus	八角鱼
Psidium cattleianum	草莓番石榴
Uromys caudimaculatus	昆士兰大裸尾鼠
Plethodontohyla notosticta	背点齿全蛙
Osmanthus lanceolatus	锐叶木犀
Vaccinium vacciniaceum subsp. glabritubum	秃冠小轮叶越桔
Stegnogramma dictyoclinoides	屏边溪边蕨
Briggsia forrestii	云南粗筒苣苔
Euthalia hebe	褐蓓翠蛱蝶
Hercostomus guizhouensis	贵州寡长足虻
Athyrium daxianglingense	大相岭蹄盖蕨
Chamaeleo rudis Boulenger	棱避役
Indigofera sericophylla	丝毛木蓝
Ichthyophis subterrestris	地栖鱼螈
Somniosus pacificus Bigelow et Schroeder	太平洋睡鲨
Leontopithecus chrysomelas	金头狮面狨
Procambarus clarkii	克氏原螯虾
Bufo rangeri Hewitt	兰杰蟾蜍
Rhododendron calophytum	美容杜鹃;疏花美容杜鹃;金佛山美容杜鹃;尖叶美容杜鹃
Sarcosperma kachinense var. simondii	光序肉实树
Ptychadena aberae Ahl	阿伯皱蛙
Youngia hastiformis	顶戟黄鹌菜
Euploea mulciber subsp. mulciber	异型紫斑蝶指名亚种
Marmosops parvidens	娇细负鼠;暗鼠(鼠儿)
Trapezia septata	幽暗梯形蟹
Aulocystis zitteli	齐氏管囊海绵
Plotohelmis capitata	泳蚕
Ichthyophis bombayensis	孟买鱼螈
Lomatogonium forrestii var. densiflorum	密花肋柱花
Sinilabeo decorus	桂华鲮
Nectophryne parvipalmata Werner	小蹼游蟾
Chrysotimus lijianganus	丽江黄鬃长足虻
Colluricincla megarhyncha	棕(贝鸟)鸫
Astyanax utiariti	尤氏丽脂鲤
Asystasia chelonoides	十万错
Bolitoglossa orestes Brame et Wake	山栖游舌螈
Spelaeornis troglodytoiies	斑翅鹩鹛
Bulbophyllum corallinum	环唇石豆兰
Pseudochromis fuscus	棕拟雀鲷
Clemmys caspica	黑海水龟
Saussurea eriocephala	棉头风毛菊
Uroconger syringinus Ginsburg	丝尾鳗
Gehyra interstitialis	点斑截趾虎
Falco subniger	黑隼
Clethra delavayi	云南桤叶树
Filipendula ulmaria	旋果蚊子草
Dendrocalamus giganteus	龙竹
Anchusa officinalis	药用牛舌草
Hiradonta hannemanni	白纹扁齿舟蛾
Rhododendron pruniflorum	桃花杜鹃
Arius sinensis	中华海鲇
Tetrastigma tsaianum	蔡氏崖爬藤
Rana sierramadrensis	马德雷蛙
Goodyera repens	小斑叶兰
Lampris guttatus	月鱼
Hypericum erectum	小连翘
Plethodon yonahlossee	约纳无肺螈
Camellia tenii	小糙果茶
Asplenium adiantum-nigrum	黑色铁角蕨
Rourea caudata	长尾红叶藤
Ophiorrhiza laoshanica	老山蛇根草
Acentrogobius herrei	海氏细棘鰕虎鱼
Trimeresurus purpureomaculatus	紫棕烙铁头
Euchystospiza dybowskii	朱背双点雀
Macrophthalmus tomentosus	绒毛大眼蟹
Tetragnatha pinicola	羽斑肖蛸
Carpodacus roborowskii	藏(朱)雀
Begonia ningmingensis var. bella	丽叶秋海棠
Liomera cinctimana	带掌花瓣蟹
Uredo grewiae	扁担杆夏抱锈
Thermopsis przewalskii	青海野决明
Parargyrops edita Tanaka	二长棘鲷
Bazzania conophylla	圆叶鞭苔
Daphne feddei var. taliensis	大理瑞香
Pedicularis transmorrisonensis	台湾马先蒿
Ajmonia psittacea	鹦阿卷叶蛛
Amazilia amabilis	蓝胸蜂鸟
Eriobotrya obovata	倒卵叶枇杷
Breviceps vansoni FitzSimons	桑氏短头蛙
Lonicera kansuensis	甘肃忍冬
Solidobalanus cidaricola	海胆坚藤壶
